% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.631849918e+01 +2.631849918e+01 +3.318849918e+01 +3.318849918e+01 +2.3088e+00 -8.9919e-01 -2.9229e+00 -1.6728e+00 +4.6776e+00 -4.9388e+00 +4.6370e+00 +4.3987e+00 +4.4719e+00 +4.3708e+00
2 +2.327122815e+01 +2.327122815e+01 +3.014122815e+01 +3.014122815e+01 +1.9495e+00 +3.0523e+00 -4.9497e+00 +2.3135e-01 +2.4398e+00 -3.5798e+00 -1.8272e-01 +4.4555e-01 +7.7100e-01 -2.9509e+00
4 +1.422361884e+01 +1.422361884e+01 +2.109361884e+01 +2.109361884e+01 -7.1216e-01 -1.9191e+00 +2.1732e+00 +4.6241e+00 -2.9051e+00 -3.2735e+00 +4.8953e-01 +5.5468e-01 +8.7816e-01 +2.8919e+00
5 +9.210617746e+00 +9.210617746e+00 +1.608061775e+01 +1.608061775e+01 -4.9124e+00 +1.3119e+00 -2.9202e+00 +3.8036e+00 +2.0704e+00 +2.2337e+00 +9.4929e-02 +4.8710e+00 -3.4675e+00 +2.1057e+00
21 +4.777412006e+00 +4.777412006e+00 +1.164741201e+01 +1.164741201e+01 -4.0092e+00 -7.9855e-01 +3.7646e+00 +2.7562e+00 +4.9322e-03 -1.7383e+00 -4.9295e+00 -2.6258e+00 -1.3791e+00 -3.6258e+00
89 +3.076126377e+00 +3.076126377e+00 +9.946126377e+00 +9.946126377e+00 -1.1230e+00 -1.0291e+00 -2.9756e+00 -2.9907e+00 -3.0271e+00 +1.5546e+00 +2.3404e-02 +4.1094e+00 -1.9035e+00 +2.2230e+00
1623 +2.006306537e+00 +2.006306537e+00 +8.876306537e+00 +8.876306537e+00 -3.6998e-01 -9.8659e-01 -3.0469e+00 -3.0475e+00 -2.7861e+00 +1.3006e+00 -2.2520e-01 +3.9921e+00 -1.7032e+00 +2.1907e+00
7190 +1.066405160e+00 +1.066405160e+00 +7.936405160e+00 +7.936405160e+00 -1.1225e+00 -1.0291e+00 -2.9592e+00 -2.9908e+00 -3.0750e+00 +1.5519e+00 +2.9848e-02 +4.1094e+00 -1.9028e+00 +2.2181e+00
8090 +7.613059546e-01 +7.613059546e-01 +7.631305955e+00 +7.631305955e+00 -1.1235e+00 -1.0291e+00 -2.9684e+00 -2.9904e+00 -3.0795e+00 +1.5534e+00 +2.6318e-02 +4.1094e+00 -1.9030e+00 +2.2194e+00
20728 +6.039105226e-01 +6.039105226e-01 +7.473910523e+00 +7.473910523e+00 -1.1221e+00 -1.0305e+00 -2.9753e+00 -2.9907e+00 -3.0729e+00 +1.5538e+00 +2.4498e-02 +4.1094e+00 -1.9168e+00 +2.2235e+00
